"","release_nb","fam_int_id","age","sex","num_children","marital","life_satisfaction","house_val","weeks_employed_last_yr","leisure_hrs","itemize_tax","health_status","race_ref_1","race_ref_2","race_ref_3","race_ref_4","religious_pref","religious_denom","donated_gt_25_charity_last_yr","religious_attend_nb","religious_attend_freq","respondant_was","taxable_income","total_fam_income","education","immigrant_fam_wt","house_val_thousand","donated"
"1","1","5620",59,"Female",0,"Divorced, annulled","Very satisfied",NA,0,23,"No; did/will not file","Fair","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Churches of Christ","No",0,"None*","Current Reference Person",0,10800,"SomeHS",52.128,"Does not own home","No"
"2","1","8559",57,"Female",0,"Divorced, annulled","Very satisfied",150000,52,25,"No; did/will not file","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Churches of Christ","No",1,"Month","Current Reference Person",56000,56000,"HS",36.793,"[150, 185)","No"
"3","1","6510",43,"Female",0,"Separated","Somewhat satisfied",NA,9,40,"No; did/will not file","Fair","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","No",0,"None*","Current Reference Person",1000,3705,"HS",21.515,"Does not own home","No"
"4","1","9172",42,"Male",0,"Never married","Somewhat satisfied",NA,52,25,"No; did/will not file","Excellent","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Christian","No",1,"Month","Current Reference Person",74000,89347,"SomeHS",21.098,"Does not own home","No"
"5","1","7682",27,"Female",3,"Separated","Somewhat satisfied",NA,52,20,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",21000,23500,"HS",13.824,"Does not own home","No"
"6","1","9421",27,"Male",0,"Never married","Completely satisfied",NA,52,12,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Other","Inap.: not Protestant (ER70941 ne 08)","No",3,"Year","Current Reference Person",26000,26000,"HS",18.035,"Does not own home","No"
"7","1","6393",25,"Female",0,"Divorced, annulled","Very satisfied",NA,50,40,"No; did/will not file","Fair","White","American Indian or Alaska Native","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",19060,37207,"HS",8.918,"Does not own home","No"
"8","1","4293",35,"Male",3,"Married","Completely satisfied",NA,36,20,"No; did/will not file","Excellent","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Spouse or new spouse",78000,81139,"HS",12.05,"Does not own home","No"
"9","1","8691",34,"Male",0,"Married","Very satisfied",NA,52,5,"No; did/will not file","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Catholic","Inap.: not Protestant (ER70941 ne 08)","Yes",0,"None*","Spouse or new spouse",65000,65000,"SomeCollege",8.513,"Does not own home","Yes"
"10","1","8276",55,"Male",0,"Married","Completely satisfied",2e+05,52,7,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","No",0,"None*","Spouse or new spouse",32000,91000,"HS",30.827,"[185, 240)","No"
"11","1","3859",50,"Male",0,"Divorced, annulled","Completely satisfied",80000,0,0,"No; did/will not file","Fair","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","No",0,"None*","Current Reference Person",18720,34656,"SomeHS",34.874,"[65, 100)","No"
"12","1","4162",22,"Male",0,"Never married","Somewhat satisfied",NA,25,20,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","No",1,"Week","Current Reference Person",9000,45500,"HS",8.768,"Does not own home","No"
"16","1","4043",62,"Male",0,"Married","Completely satisfied",5e+05,52,20,"Yes","Excellent","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Lutheran","Yes",1,"Week","Spouse or new spouse",250800,250800,"College",27.556,"[450, 4500)","Yes"
"17","1","9110",43,"Male",2,"Married","Very satisfied",575000,52,8,"Yes","Excellent","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Methodist/African Methodist","Yes",2,"Year","Current Reference Person",155100,155100,"College",17.159,"[450, 4500)","Yes"
"18","1","7810",36,"Male",3,"Married","Very satisfied",NA,52,15,"Yes","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Lutheran","Yes",1,"Month","Current Reference Person",146000,146000,"College",15.358,"Does not own home","Yes"
"19","1","8286",35,"Male",2,"Married","Completely satisfied",1500000,52,20,"No; did/will not file","Excellent","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Other Protestant","No",2,"Year","Spouse or new spouse",93490,93490,"College",16.863,"[450, 4500)","No"
"20","1","5702",33,"Male",0,"Never married","Completely satisfied",2e+05,52,30,"No; did/will not file","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Lutheran","Yes",1,"Week","Current Reference Person",115050,115050,"College",30.751,"[185, 240)","Yes"
"21","1","4056",72,"Male",0,"Married","Somewhat satisfied",119000,52,35,"No; did/will not file","Poor","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","Yes",0,"None*","Spouse or new spouse",30300,60012,"SomeHS",33.61,"[100, 150)","Yes"
"22","1","6322",43,"Male",3,"Married","Very satisfied",450000,52,30,"Yes","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","Yes",0,"None*","Spouse or new spouse",245200,245200,"College",16.244,"[450, 4500)","Yes"
"23","1","3802",62,"Male",0,"Separated","Somewhat satisfied",NA,0,35,"No; did/will not file","Poor","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Other Protestant","No",0,"None*","Current Reference Person",0,8832,"HS",72.187,"Does not own home","No"
"24","1","4360",61,"Female",0,"Divorced, annulled","Very satisfied",NA,0,0,"No; did/will not file","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Other Protestant","No",0,"None*","Current Reference Person",0,12000,"SomeHS",58.77,"Does not own home","No"
"25","1","3831",43,"Male",0,"Married","Somewhat satisfied",15000,52,20,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Spouse or new spouse",67000,67000,"SomeHS",19.121,"[0.145, 65)","No"
"26","1","4371",42,"Male",1,"Separated","Somewhat satisfied",NA,7,3,"No; did/will not file","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",2200,14300,"SomeHS",12.813,"Does not own home","No"
"27","1","4984",42,"Female",0,"Divorced, annulled","Somewhat satisfied",NA,52,3,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Pentecostal/Assembly of God","No",0,"None*","Current Reference Person",40000,40000,"SomeHS",37.343,"Does not own home","No"
"28","1","4348",40,"Male",0,"Married","Somewhat satisfied",NA,0,40,"No; did/will not file","Poor","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Spouse or new spouse",0,5200,"SomeHS",19.313,"Does not own home","No"
"29","1","5898",36,"Female",4,"Separated","Completely satisfied",NA,52,2,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Pentecostal/Assembly of God","No",0,"None*","Current Reference Person",5000,12200,"HS",21.417,"Does not own home","No"
"30","1","7924",36,"Male",2,"Divorced, annulled","Very satisfied",NA,52,2,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",75050,75050,"SomeHS",34.4,"Does not own home","No"
"31","1","5735",33,"Male",0,"Married","Somewhat satisfied",15000,52,0,"No; did/will not file","Fair","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Christian","No",0,"None*","Current Reference Person",20000,20000,"HS",18.762,"[0.145, 65)","No"
"33","1","4139",25,"Male",1,"Married","Completely satisfied",NA,52,4,"No; did/will not file","Very good","White","American Indian or Alaska Native","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",82000,82000,"SomeCollege",18.608,"Does not own home","No"
"35","1","4261",24,"Male",0,"Never married","Somewhat satisfied",NA,16,7,"No; did/will not file","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Other","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",3600,3600,"SomeHS",40.484,"Does not own home","No"
"36","1","3854",24,"Female",2,"Never married","Completely satisfied",NA,0,1,"No; did/will not file","Fair","White","American Indian or Alaska Native","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Pentecostal/Assembly of God","No",0,"None*","Current Reference Person",0,2961,"HS",18.371,"Does not own home","No"
